image_name,instruction
image_0000.png,"A city built on the back of a colossal, slumbering space turtle."
image_0001.png,An enchanted library where books fly like birds and whisper forgotten stories.
image_0002.png,"A bio-luminescent forest at night, with glowing flora and fauna."
image_0003.png,"A steampunk dragon with gears and cogs for scales, breathing steam instead of fire."
image_0005.png,A knight in obsidian armor riding a griffin made of pure starlight.
image_0006.png,A marketplace where merchants sell bottled dreams and captured emotions.
image_0007.png,"A crystal golem tending to a garden of sentient, singing flowers."
image_0008.png,"A fleet of sky-ships with sails made of woven clouds, navigating through a sea of stars."
image_0009.png,"A wizard's tower that is a single, impossibly tall, twisted tree."
image_0010.png,"A desert made of purple sand where giant, skeletal leviathans are half-buried."
image_0011.png,"A society of tiny people living inside a giant, discarded pocket watch."
image_0012.png,A celestial blacksmith forging new constellations on an anvil of cosmic dust.
image_0013.png,"An ethereal deer with antlers that branch into a miniature, living forest."
image_0014.png,"A floating island held aloft by a giant, upside-down waterfall."
image_0015.png,"A rogue planet that is actually a single, planet-sized, mechanical eye."
image_0016.png,A musician playing a harp whose strings are made of solidified moonlight.
image_0017.png,"A warrior wielding a sword forged from a fallen star, glowing with inner light."
image_0018.png,"A hidden grotto where time flows backward, showing echoes of the future."
image_0019.png,A sentient storm cloud that communicates through intricate patterns of lightning.
image_0020.png,"A city carved into a massive, geode crystal, with buildings made of amethyst and quartz."
image_0021.png,A clockwork owl with ruby eyes that can see into other dimensions.
image_0022.png,A river of liquid starlight flowing through a canyon of polished obsidian.
image_0023.png,"A forgotten god sleeping at the bottom of the ocean, covered in coral and shipwrecks."
image_0025.png,"A magical beast that is a hybrid of a lion, an eagle, and a serpent, with scales of iridescent metal."
image_0027.png,A sorceress wearing a gown woven from shadows and nebulae.
image_0028.png,"A mountain range where the peaks are giant, silent, stone faces."
image_0029.png,A portal to another world opening in the reflection of a puddle.
image_0030.png,"A mechanical whale swimming through the clouds, its body plated in brass and copper."
image_0031.png,"A garden where the statues are petrified mythical creatures, waiting to be awakened."
image_0032.png,"A nomadic tribe that lives on the backs of giant, gentle, six-legged desert walkers."
image_0033.png,"A castle made entirely of black ice that never melts, located in the heart of a volcano."
image_0036.png,"A forest where the trees have leaves of stained glass, casting colorful shadows."
image_0037.png,A lone astronaut discovering a garden growing on a desolate asteroid.
image_0038.png,"A grimoire whose pages are made of liquid shadow, with text that writhes and moves."
image_0039.png,"A civilization that builds its homes in the canopies of colossal, world-spanning mushrooms."
image_0040.png,"A spectral wolf, its body made of mist and moonlight, howling at a shattered moon."
image_0041.png,"A queen sitting on a throne carved from a single, giant dragon's tooth."
image_0042.png,"A sentient ocean with waves that form into temporary, expressive faces."
image_0043.png,"A city where the buildings are grown, not built, from a special kind of magical coral."
image_0044.png,"A warrior with a shield that is a captured, miniature black hole."
image_0045.png,"A sky filled with floating, gelatinous, whale-like creatures."
image_0046.png,A monk meditating so intensely that the world around him dissolves into pure energy.
image_0047.png,"A giant, ancient tree whose roots hold the entire world together."
image_0048.png,"A creature made of living, animated stained glass, walking through a cathedral."
image_0049.png,"A festival of lights in a city of perpetual twilight, with lanterns made from captured stars."
image_0050.png,"A mechanical heart, intricate with gears and pipes, powering a golem of stone and ivy."
image_0051.png,A desert oasis where the water shows visions of lost civilizations.
image_0052.png,"A knight whose armor is possessed by a friendly, talkative ghost."
image_0053.png,"A colossal, ancient library carved into the side of a glacier."
image_0054.png,"A sky-whale graveyard, with massive skeletons floating in a silent nebula."
image_0055.png,"A sorcerer dueling with spells that manifest as fantastical, elemental creatures."
image_0056.png,"A city where gravity is inverted, and people walk on the undersides of floating streets."
image_0057.png,A phoenix being reborn from the ashes of a dying star.
image_0058.png,"A creature that is a living constellation, walking across the landscape."
